country_code,noc,gold,silver,bronze,total,medal_score,athletes_sent, gdp_per_capita , total_population , life_expectancy , expenditure_on_education , education_index , urban_population ,,,,,,,,,,,,,,
DZA,Algeria,0,2,0,2,6,64,4481.08,40339329,75.73,6.5,0.65,71.46,,,,,,,,,,,,,,
ARG,Argentina,3,1,0,4,18,213,12790.26,43590368,76.31,5.55,0.86,91.63,,,,,,,,,,,,,,
ARM,Armenia,1,3,0,4,14,32,3679.95,2865835,74.66,2.76,0.76,63.08,,,,,,,,,,,,,,
AUS,Australia,8,11,10,29,83,421,49918.79,24190907,82.45,5.43,0.91,85.8,,,,,,,,,,,,,,
AUT,Austria,0,0,1,1,1,71,45307.59,8736668,81.64,5.48,0.85,57.91,,,,,,,,,,,,,,
AZE,Azerbaijan,1,7,10,18,36,56,3880.69,9757812,72,2.9,0.72,55.02,,,,,,,,,,,,,,
BHS,Bahamas,1,0,1,2,6,28,29661.14,395976,73.54,2.59,0.74,82.83,,,,,,,,,,,,,,
BHR,Bahrain,1,1,0,2,8,35,22877.94,1409661,79.56,2.8,0.76,89.09,,,,,,,,,,,,,,
BLR,Belarus,1,4,4,9,21,124,5039.78,9469379,73.83,4.95,0.82,77.66,,,,,,,,,,,,,,
BEL,Belgium,2,2,2,6,18,108,42012.62,11331422,81.44,6.46,0.95,97.92,,,,,,,,,,,,,,
BRA,Brazil,7,6,6,19,59,465,8680.74,206859578,74.44,6.31,0.68,86.04,,,,,,,,,,,,,,
BGR,Bulgaria,0,1,2,3,5,51,7570.93,7127822,74.81,3.39,0.79,74.33,,,,,,,,,,,,,,
BDI,Burundi,0,1,0,1,3,9,242.54,10903327,60.79,4.97,0.39,12.39,,,,,,,,,,,,,,
CAN,Canada,4,3,15,22,44,314,42314.06,36110803,81.92,4.82,0.9,81.3,,,,,,,,,,,,,,
CHN,China,26,18,26,70,210,416,8094.39,1387790000,77.22,4.21,0.65,56.74,,,,,,,,,,,,,,
TPE,Chinese Taipei,1,0,2,3,7,57,0,0,0,0,0,0,,,,,,,,,,,,,,
COL,Colombia,3,2,3,8,24,147,5936.26,47625955,76.47,0,0.68,80.11,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,1,0,1,2,6,12,1999.2,24213622,58.06,3.94,0.38,49.88,,,,,,,,,,,,,,
HRV,Croatia,5,3,2,10,36,87,12634.32,4174349,78.02,4.9,0.82,56.4,,,,,,,,,,,,,,
CUB,Cuba,5,2,4,11,35,124,8055.93,11342012,77.64,9.01,0.75,76.93,,,,,,,,,,,,,,
CZE,Czechia,1,2,7,10,18,105,18575.23,10566332,79.03,5.55,0.89,73.57,,,,,,,,,,,,,,
DNK,Denmark,2,6,7,15,35,120,54664,5728010,80.85,7.69,0.97,87.64,,,,,,,,,,,,,,
DOM,Dominican Republic,0,0,1,1,1,29,7191.07,10527592,72.99,3.85,0.7,79.44,,,,,,,,,,,,,,
EGY,Egypt,0,0,3,3,3,120,3331.61,99784030,70.84,0,0.63,42.73,,,,,,,,,,,,,,
EST,Estonia,0,0,1,1,1,45,18295.34,1315790,77.64,5.16,0.89,68.56,,,,,,,,,,,,,,
ETH,Ethiopia,1,2,5,8,16,38,705.62,105293228,64.39,5.06,0.33,19.87,,,,,,,,,,,,,,
FJI,Fiji,1,0,0,1,5,54,5368.43,918371,67.24,4.84,0.72,55.24,,,,,,,,,,,,,,
FIN,Finland,0,0,1,1,1,54,43814.03,5495303,81.43,6.85,0.96,85.28,,,,,,,,,,,,,,
FRA,France,10,18,14,42,118,401,37062.53,66724104,82.57,5.41,0.81,79.92,,,,,,,,,,,,,,
GEO,Georgia,2,1,4,7,17,40,4143.4,3727505,73.57,3.52,0.86,57.84,,,,,,,,,,,,,,
DEU,Germany,17,10,15,42,130,422,42136.12,82348669,80.99,4.84,0.94,77.22,,,,,,,,,,,,,,
GRC,Greece,3,1,2,6,20,93,17923.97,10775971,81.39,4.02,0.85,78.39,,,,,,,,,,,,,,
GRD,Grenada,0,1,0,1,3,7,8849.51,119966,74.76,0,0.79,36.07,,,,,,,,,,,,,,
HUN,Hungary,8,3,4,15,53,160,13104.7,9814023,76.06,4.62,0.82,70.78,,,,,,,,,,,,,,
IND,India,0,1,1,2,4,117,1714.28,1338636340,70.12,4.26,0.53,33.18,,,,,,,,,,,,,,
IDN,Indonesia,1,2,0,3,11,28,3558.82,261850182,69.8,1.21,0.64,53.99,,,,,,,,,,,,,,
IRN,Iran,3,1,4,8,22,63,5497.24,83306231,75.6,3.17,0.75,73.88,,,,,,,,,,,,,,
IRL,Ireland,0,2,0,2,6,77,62784.07,4755335,81.65,3.75,0.9,62.74,,,,,,,,,,,,,,
ISR,Israel,0,0,2,2,2,47,37690.47,8546000,82.41,5.8,0.85,92.26,,,,,,,,,,,,,,
ITA,Italy,8,12,8,28,84,314,30960.73,60627498,83.24,3.82,0.79,69.86,,,,,,,,,,,,,,
JAM,Jamaica,6,3,2,11,41,56,5022.7,2802695,72.02,5.31,0.65,55.1,,,,,,,,,,,,,,
JPN,Japan,12,8,21,41,105,338,39375.47,127076000,83.98,3.15,0.85,91.46,,,,,,,,,,,,,,
JOR,Jordan,1,0,0,1,5,8,4003.4,9964656,75.22,3.45,0.69,90.51,,,,,,,,,,,,,,
KAZ,Kazakhstan,2,5,10,17,35,104,7714.84,17794055,72.41,3.56,0.79,57.26,,,,,,,,,,,,,,
KEN,Kenya,6,6,1,13,49,89,1562.08,47894670,62.16,4.67,0.55,26.11,,,,,,,,,,,,,,
PRK,"Korea, Dem. People's Rep.",2,3,2,7,21,31,0,25389611,72.81,0,0,61.47,,,,,,,,,,,,,,
KOR,"Korea, Rep.",9,3,9,21,63,205,29280.44,51217803,82.28,4.33,0.87,81.56,,,,,,,,,,,,,,
XKX,Kosovo,1,0,0,1,5,8,3759.47,1777557,78.98,0,0,0,,,,,,,,,,,,,,
LTU,Lithuania,0,1,3,4,6,67,15008.31,2868231,74.67,4,0.9,67.37,,,,,,,,,,,,,,
MYS,Malaysia,0,4,1,5,13,32,9555.67,31526418,75.29,4.35,0.72,74.84,,,,,,,,,,,,,,
MEX,Mexico,0,3,2,5,11,124,9152.74,121519221,74.41,4.76,0.69,79.58,,,,,,,,,,,,,,
MNG,Mongolia,0,1,1,2,4,43,3690.76,3029555,69.87,5.2,0.76,68.3,,,,,,,,,,,,,,
MAR,Morocco,0,0,1,1,1,49,3132.95,35107264,73.28,5.09,0.54,61.36,,,,,,,,,,,,,,
NLD,Netherlands,8,7,4,19,65,242,46039.11,17030314,81.56,5.48,0.91,90.64,,,,,,,,,,,,,,
NZL,New Zealand,4,9,5,18,52,199,40070.9,4714100,81.66,5.51,0.94,86.4,,,,,,,,,,,,,,
NER,Niger,0,1,0,1,3,6,497.04,20921743,61.63,2.96,0.22,16.29,,,,,,,,,,,,,,
NGA,Nigeria,0,0,1,1,1,77,2144.78,188666931,52.04,0.39,0.5,48.68,,,,,,,,,,,,,,
NOR,Norway,0,0,4,4,4,62,70867.36,5234519,82.41,7.98,0.93,81.49,,,,,,,,,,,,,,
PHL,Philippines,0,1,0,1,3,13,3038.15,104875266,71.39,3.3,0.64,46.48,,,,,,,,,,,,,,
POL,Poland,2,3,6,11,25,243,12378.81,37970087,77.85,4.66,0.88,60.18,,,,,,,,,,,,,,
PRT,Portugal,0,0,1,1,1,92,19991.97,10325452,81.12,4.77,0.76,64.09,,,,,,,,,,,,,,
PRI,Puerto Rico,1,0,0,1,5,40,30627.16,3406672,80.27,0,0,93.6,,,,,,,,,,,,,,
QAT,Qatar,0,1,0,1,3,38,58467.24,2595166,80.43,0,0.67,99.02,,,,,,,,,,,,,,
ROU,Romania,1,1,2,4,10,97,9404.38,19702267,75.21,3.03,0.77,53.9,,,,,,,,,,,,,,
RUS,Russian Federation,19,17,20,56,166,282,8663.16,145015460,71.65,3.76,0.83,74.16,,,,,,,,,,,,,,
SRB,Serbia,2,4,2,8,24,103,5765.2,7058322,75.69,3.63,0.78,55.81,,,,,,,,,,,,,,
SGP,Singapore,1,0,0,1,5,25,56899.92,5607283,82.85,2.87,0.85,100,,,,,,,,,,,,,,
SVK,Slovak Republic,2,2,0,4,16,51,16563.44,5430798,77.17,3.9,0.83,53.81,,,,,,,,,,,,,,
SVN,Slovenia,1,2,1,4,12,63,21678.36,2065042,81.18,4.79,0.91,54.02,,,,,,,,,,,,,,
ZAF,South Africa,2,6,2,10,30,138,5735.07,56422274,64.75,5.44,0.7,65.34,,,,,,,,,,,,,,
ESP,Spain,7,4,6,17,53,306,26537.16,46484062,83.33,4.23,0.82,79.84,,,,,,,,,,,,,,
SWE,Sweden,2,6,3,11,31,152,51965.16,9923085,82.31,7.62,0.93,86.85,,,,,,,,,,,,,,
CHE,Switzerland,3,2,2,7,23,104,82153.07,8373338,83.6,4.98,0.9,73.74,,,,,,,,,,,,,,
TJK,Tajikistan,1,0,0,1,5,7,801.39,8725318,69.55,5.73,0.68,26.85,,,,,,,,,,,,,,
THA,Thailand,2,2,2,6,18,54,5854.46,70607037,78.05,3.77,0.73,48.45,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,0,0,1,1,1,32,16139.11,1469330,74.28,4.17,0.75,53.25,,,,,,,,,,,,,,
TUN,Tunisia,0,0,3,3,3,61,3796.11,11685667,75.79,0,0.64,68.35,,,,,,,,,,,,,,
TUR,Turkey,1,3,4,8,18,103,10970.05,79277962,76.66,4.63,0.78,74.13,,,,,,,,,,,,,,
UKR,Ukraine,2,5,4,11,29,206,2187.73,45038236,71.48,5.01,0.75,69.15,,,,,,,,,,,,,,
ARE,United Arab Emirates,0,0,1,1,1,13,41054.54,8994263,79.34,0,0.72,85.97,,,,,,,,,,,,,,
GBR,United Kingdom,27,23,17,67,221,366,40985.24,65611593,81.16,5.43,0.92,82.89,,,,,,,,,,,,,,
